date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:24:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:24:37%20GMT	https://www.zanroo.com/homepage/crisis-management/	/home/boss/websites/Thailanda/www.zanroo.com/homepage/crisis-management/index.html	(from https://www.zanroo.com/)
01:24:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:24:38%20GMT	https://www.zanroo.com/homepage/online-call-center/	/home/boss/websites/Thailanda/www.zanroo.com/homepage/online-call-center/index.html	(from https://www.zanroo.com/)
01:24:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:24:39%20GMT	https://www.zanroo.com/contact-us/	/home/boss/websites/Thailanda/www.zanroo.com/contact-us/index.html	(from https://www.zanroo.com/)
01:24:42	56684/56684	---MCZ	200	added ('OK')	application/json	date:Tue,%2016%20Jan%202018%2023:24:41%20GMT	https://www.zanroo.com/th/wp-json/	/home/boss/websites/Thailanda/www.zanroo.com/th/wp-json/index.html	(from https://www.zanroo.com/th/)
01:24:43	2266/2266	---MCZ	200	added ('OK')	application/json	date:Tue,%2016%20Jan%202018%2023:24:43%20GMT	https://www.zanroo.com/th/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.zanroo.com%2Fth%2F	/home/boss/websites/Thailanda/www.zanroo.com/th/wp-json/oembed/1.0/embed88b6.json	(from https://www.zanroo.com/th/)
01:24:46	2379/2379	---MCZ	200	added ('OK')	text/xml	date:Tue,%2016%20Jan%202018%2023:24:45%20GMT	https://www.zanroo.com/th/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.zanroo.com%2Fth%2F&format=xml	/home/boss/websites/Thailanda/www.zanroo.com/th/wp-json/oembed/1.0/embed672a	(from https://www.zanroo.com/th/)
01:24:46	143/143	---MCZ	200	added ('OK')	text/css	etag:W/%2259559c59-8f%22	https://www.zanroo.com/wp-content/themes/yoo_master2_wp/css/th.css	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/themes/yoo_master2_wp/css/th.css	(from https://www.zanroo.com/th/)
01:24:47	45014/45014	---M--	200	added ('OK')	image/png	etag:%225956b26e-afd6%22	https://www.zanroo.com/wp-content/uploads/2009/03/header_slide1_th.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2009/03/header_slide1_th.png	(from https://www.zanroo.com/th/)
01:24:48	59796/59796	---M--	200	added ('OK')	image/png	etag:%225956b26b-e994%22	https://www.zanroo.com/wp-content/uploads/2009/03/header_slide3_th.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2009/03/header_slide3_th.png	(from https://www.zanroo.com/th/)
01:24:48	222536/222536	---M--	200	added ('OK')	image/png	etag:%225956b264-36548%22	https://www.zanroo.com/wp-content/uploads/2009/03/header_slide2_th.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2009/03/header_slide2_th.png	(from https://www.zanroo.com/th/)
01:24:48	23878/23878	---M--	200	added ('OK')	image/png	etag:%225956b21a-5d46%22	https://www.zanroo.com/wp-content/uploads/2009/03/howzanroowork_th.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2009/03/howzanroowork_th.png	(from https://www.zanroo.com/th/)
01:24:51	2182/2182	---MCZ	200	added ('OK')	application/json	date:Tue,%2016%20Jan%202018%2023:24:51%20GMT	https://www.zanroo.com/ja/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.zanroo.com%2Fja%2F	/home/boss/websites/Thailanda/www.zanroo.com/ja/wp-json/oembed/1.0/embed6809.json	(from https://www.zanroo.com/ja/)
01:24:56	85717/85717	---MCZ	200	added ('OK')	application/json	date:Tue,%2016%20Jan%202018%2023:24:55%20GMT	https://www.zanroo.com/ja/wp-json/	/home/boss/websites/Thailanda/www.zanroo.com/ja/wp-json/index.html	(from https://www.zanroo.com/ja/)
01:24:59	2277/2277	---MCZ	200	added ('OK')	text/xml	date:Tue,%2016%20Jan%202018%2023:24:58%20GMT	https://www.zanroo.com/ja/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.zanroo.com%2Fja%2F&format=xml	/home/boss/websites/Thailanda/www.zanroo.com/ja/wp-json/oembed/1.0/embed2778	(from https://www.zanroo.com/ja/)
01:24:59	138/138	---MCZ	200	added ('OK')	text/css	etag:W/%2259559c2c-8a%22	https://www.zanroo.com/wp-content/themes/yoo_master2_wp/css/ja.css	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/themes/yoo_master2_wp/css/ja.css	(from https://www.zanroo.com/ja/)
01:25:00	45155/45155	---M--	200	added ('OK')	image/png	etag:%22595df3f6-b063%22	https://www.zanroo.com/wp-content/uploads/2009/03/header_slide1_ja.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2009/03/header_slide1_ja.png	(from https://www.zanroo.com/ja/)
01:25:01	60117/60117	---M--	200	added ('OK')	image/png	etag:%225956b29f-ead5%22	https://www.zanroo.com/wp-content/uploads/2009/03/header_slide3_ja.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2009/03/header_slide3_ja.png	(from https://www.zanroo.com/ja/)
01:25:01	221482/221482	---M--	200	added ('OK')	image/png	etag:%22595df3f9-3612a%22	https://www.zanroo.com/wp-content/uploads/2009/03/header_slide2_ja.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2009/03/header_slide2_ja.png	(from https://www.zanroo.com/ja/)
01:25:02	22808/22808	---M--	200	added ('OK')	image/png	etag:%225956b220-5918%22	https://www.zanroo.com/wp-content/uploads/2009/03/howzanroowork_ja.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2009/03/howzanroowork_ja.png	(from https://www.zanroo.com/ja/)
01:25:02	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2016%20Jan%202018%2023:25:02%20GMT	https://fonts.googleapis.com/robots.txt		(from https://www.zanroo.com/)
01:25:11	43116/43116	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2023:25:09%20GMT	https://www.zanroo.com/th/request-demo/	/home/boss/websites/Thailanda/www.zanroo.com/th/request-demo/index.html	(from https://www.zanroo.com/request-demo/)
01:25:23	2306/2306	---MCZ	200	added ('OK')	application/json	date:Tue,%2016%20Jan%202018%2023:25:22%20GMT	https://www.zanroo.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.zanroo.com%2Frequest-demo%2F	/home/boss/websites/Thailanda/www.zanroo.com/wp-json/oembed/1.0/embeddc9d.json	(from https://www.zanroo.com/request-demo/)
01:25:41	41022/41022	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2023:25:38%20GMT	https://www.zanroo.com/ja/request-demo/	/home/boss/websites/Thailanda/www.zanroo.com/ja/request-demo/index.html	(from https://www.zanroo.com/request-demo/)
01:25:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:25:45%20GMT	https://www.zanroo.com/?p=910	/home/boss/websites/Thailanda/www.zanroo.com/index0865.html	(from https://www.zanroo.com/request-demo/)
01:25:53	2398/2398	---MCZ	200	added ('OK')	text/xml	date:Tue,%2016%20Jan%202018%2023:25:52%20GMT	https://www.zanroo.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.zanroo.com%2Frequest-demo%2F&format=xml	/home/boss/websites/Thailanda/www.zanroo.com/wp-json/oembed/1.0/embedcb6a	(from https://www.zanroo.com/request-demo/)
01:25:55	148171/148171	---M--	200	added ('OK')	image/png	etag:%22598bc4ce-242cb%22	https://www.zanroo.com/wp-content/uploads/2017/07/header_requestdemo.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2017/07/header_requestdemo.png	(from https://www.zanroo.com/request-demo/)
01:25:56	666/666	---M--	200	added ('OK')	image/png	etag:%2258efa384-29a%22	https://www.zanroo.com/wp-content/uploads/2017/03/icon_paperplane_gray.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2017/03/icon_paperplane_gray.png	(from https://www.zanroo.com/request-demo/)
